id_emplacement,cd_postal,lb_ville
856,78113,Adainville 
857,91150,La Forêt-Sainte-Croix 
858,78770,Marcq 
859,77169,Saint-Siméon 
860,78520,Saint-Martin-la-Garenne 
861,93,le bourget 
862,91620,Nozay 
863,78270,La Villeneuve-en-Chevrie 
864,77171,Chalautre-la-Grande 
865,91150,Brières-les-Scellés 
866,91550,Paray-Vieille-Poste 
867,77950,Moisenay 
868,78125,La Boissière-École 
869,77167,Faÿ-lès-Nemours 
870,91810,Vert-le-Grand 
871,91570,Bièvres 
872,77470,Montceaux-lès-Meaux 
873,91580,Auvers-Saint-Georges 
874,78770,Villiers-le-Mahieu 
875,77390,Verneuil-l'Étang 
876,95000,Neuville-sur-Oise 
877,77720,La Chapelle-Gauthier 
878,77730,Saâcy-sur-Marne 
879,95840,Villiers-Adam 
880,77580,Villiers-sur-Morin 
881,77440,Dhuisy 
882,77760,Amponville 
883,95450,Commeny 
884,78440,Brueil-en-Vexin 
885,77151,Montceaux-lès-Provins 
886,78690,Saint-Rémy-l'Honoré 
887,77750,Orly-sur-Morin 
888,77260,Chamigny 
889,78125,Hermeray 
890,77540,Bernay-Vilbert 
891,78125,Saint-Hilarion 
892,78490,Le Tremblay-sur-Mauldre 
893,95450,Vigny 
894,95300,Livilliers 
895,91690,Fontaine-la-Rivière 
896,77120,Mauperthuis 
897,91490,Moigny-sur-École 
898,78410,La Falaise 
899,91430,Gommonvillier 
900,77130,Ville-Saint-Jacques 
901,91410,Saint-Cyr-sous-Dourdan 
902,91690,Guillerval 
903,78200,Buchelay 
904,78840,Moisson 
905,77114,Noyen-sur-Seine 
906,77480,Mouy-sur-Seine 
907,94250,Gentilly 
908,77139,Douy-la-Ramée 
909,78740,Évecquemont 
910,77610,La Houssaye-en-Brie 
911,91750,Chevannes 
912,95650,Puiseux-Pontoise 
913,77760,La Chapelle-la-Reine 
914,77131,Pézarches 
915,91540,Fontenay-le-Vicomte 
916,78610,Auffargis 
917,77390,Yèbles 
918,91590,Baulne 
919,77720,Grandpuits-Bailly-Carrois 
920,91680,Bruyères-le-Châtel 
921,77130,Misy-sur-Yonne 
922,91150,Abbéville-la-Rivière 
923,77480,Mousseaux-lès-Bray 
924,77118,Balloy 
925,77870,Vulaines-sur-Seine 
926,91580,Villeneuve-sur-Auvers 
927,91150,Puiselet-le-Marais 
928,77710,Villemaréchal 
929,91640,Vaugrigneuse 
930,77940,Esmans 
931,95450,Seraincourt 
932,77250,Épisy 
